date,Adj Close,Close,High,Low,Open,Volume
2021-08-18,1.3740416765213013,1.3740416765213013,1.3770312070846558,1.3733999729156494,1.374003767967224,0
2021-08-19,1.3743815422058103,1.3743815422058103,1.374967336654663,1.365411400794983,1.3744381666183472,0
2021-08-20,1.36308491230011,1.36308491230011,1.364256501197815,1.3603591918945312,1.3631778955459597,0
2021-08-23,1.3625277280807495,1.3625277280807495,1.372005581855774,1.36284339427948,1.36284339427948,0
2021-08-24,1.37247633934021,1.37247633934021,1.3747594356536863,1.3695815801620483,1.372457504272461,0
2021-08-25,1.3725517988204956,1.3725517988204956,1.3742871284484863,1.3699193000793457,1.372777819633484,0
2021-08-26,1.3766520023345947,1.3766520023345947,1.376955270767212,1.3710650205612185,1.3764625787734983,0
2021-08-27,1.3702384233474731,1.3702384233474731,1.3780938386917114,1.3681013584136963,1.3696004152297974,0
2021-08-30,1.3762996196746826,1.3762996196746826,1.3776761293411257,1.3736263513565063,1.3765193223953247,0
2021-08-31,1.376045823097229,1.376045823097229,1.3804336786270142,1.374419331550598,1.376064658164978,0
2021-09-01,1.3753398656845093,1.3753398656845093,1.379824161529541,1.373173713684082,1.3753701448440552,0
2021-09-02,1.3771638870239258,1.3771638870239258,1.3835850954055786,1.376822590827942,1.3774104118347168,0
2021-09-03,1.383680820465088,1.383680820465088,1.387462854385376,1.3819791078567505,1.3837957382202148,0
2021-09-06,1.3859245777130127,1.3859245777130127,1.386001467704773,1.381940841674805,1.3859302997589111,0
2021-09-07,1.3839489221572876,1.3839489221572876,1.3856940269470217,1.3770121335983276,1.3840255737304688,0
2021-09-08,1.3779798746109009,1.3779798746109009,1.379120111465454,1.37285315990448,1.3779798746109009,0
2021-09-09,1.3767657279968262,1.3767657279968262,1.3854061365127563,1.375400424003601,1.3766520023345947,0
2021-09-10,1.3839681148529053,1.3839681148529053,1.3888888359069824,1.3834320306777954,1.3838915824890137,0
2021-09-13,1.3840830326080322,1.3840830326080322,1.3852334022521973,1.3797861337661743,1.3840255737304688,0
2021-09-14,1.3838149309158323,1.3838149309158323,1.3913236856460571,1.383125901222229,1.3841214179992676,0
2021-09-15,1.381024718284607,1.381024718284607,1.385195016860962,1.3793102502822876,1.3808530569076538,0
2021-09-16,1.3848881721496582,1.3848881721496582,1.38504159450531,1.3764625787734983,1.384696364402771,0
2021-09-17,1.3797005414962769,1.3797005414962769,1.3814061880111694,1.3743627071380615,1.3799384832382202,0
2021-09-20,1.3729662895202637,1.3729662895202637,1.3729851245880127,1.3647406101226809,1.3728721141815186,0
2021-09-21,1.366269588470459,1.366269588470459,1.3693565130233765,1.3642191886901855,1.3660643100738523,0
2021-09-22,1.3657469749450684,1.3657469749450684,1.3678019046783447,1.3617855310440063,1.3659336566925049,0
2021-09-23,1.3617113828659058,1.3617113828659058,1.374948501586914,1.3612850904464722,1.3620080947875977,0
2021-09-24,1.3722503185272217,1.3722503185272217,1.373769760131836,1.3659522533416748,1.3721938133239746,0
2021-09-27,1.3669044971466064,1.3669044971466064,1.3728721141815186,1.3659336566925049,1.3669419288635254,0
2021-09-28,1.3701633214950562,1.3701633214950562,1.3717796802520752,1.352539300918579,1.370099425315857,0
2021-09-29,1.354224443435669,1.354224443435669,1.3554543256759644,1.3424079418182373,1.3541511297225952,0
2021-09-30,1.3426424264907837,1.3426424264907837,1.3517167568206787,1.3417415618896484,1.342624306678772,0
2021-10-01,1.346982717514038,1.346982717514038,1.3573493957519531,1.3436344861984253,1.3469645977020264,0
2021-10-04,1.3570915460586548,1.3570915460586548,1.363977313041687,1.353363037109375,1.3570915460586548,0
2021-10-05,1.3607479333877563,1.3607479333877563,1.3650014400482178,1.3585848808288574,1.3607664108276367,0
2021-10-06,1.3627691268920898,1.3627691268920898,1.36314058303833,1.3544628620147705,1.3625648021697998,0
2021-10-07,1.3592127561569214,1.3592127561569214,1.363735556602478,1.357183575630188,1.3592681884765625,0
2021-10-08,1.3620266914367676,1.3620266914367676,1.3653740882873535,1.3584926128387451,1.361952543258667,0
2021-10-11,1.361655831336975,1.361655831336975,1.3674278259277344,1.3612850904464722,1.3618227243423462,0
2021-10-12,1.3590649366378784,1.3590649366378784,1.363735556602478,1.3570362329483032,1.3592866659164429,0
2021-10-13,1.3578838109970093,1.3578838109970093,1.3647592067718506,1.3576995134353638,1.357717990875244,0
2021-10-14,1.366923213005066,1.366923213005066,1.373437762260437,1.3658963441848757,1.3670727014541626,0
2021-10-15,1.3668859004974363,1.3668859004974363,1.377353549003601,1.366867184638977,1.366867184638977,0
2021-10-18,1.376159429550171,1.376159429550171,1.3764055967330933,1.3710838556289673,1.376007914543152,0
2021-10-19,1.373645305633545,1.373645305633545,1.3832004070281982,1.3738150596618652,1.3738150596618652,0
2021-10-20,1.3793197870254517,1.3793197870254517,1.3823610544204712,1.3743247985839844,1.379481554031372,0
2021-10-21,1.3822999000549316,1.3822999000549316,1.383399486541748,1.378720760345459,1.3823610544204712,0
2021-10-22,1.379120111465454,1.379120111465454,1.381425380706787,1.374306082725525,1.379120111465454,0
2021-10-25,1.3762730360031128,1.3762730360031128,1.379177212715149,1.374343752861023,1.3766520023345947,0
2021-10-26,1.37644362449646,1.37644362449646,1.3829537630081177,1.3758186101913452,1.3766140937805176,0
2021-10-27,1.3766140937805176,1.3766140937805176,1.3780368566513062,1.3710838556289673,1.3768415451049805,0
2021-10-28,1.3732868432998655,1.3732868432998655,1.3815207481384275,1.3723068237304688,1.373249053955078,0
2021-10-29,1.380071759223938,1.380071759223938,1.3804528713226318,1.3681762218475342,1.380071759223938,0
2021-11-01,1.36832594871521,1.36832594871521,1.36924409866333,1.364237904548645,1.3686443567276,0
2021-11-02,1.365541934967041,1.365541934967041,1.3667176961898804,1.3610812425613403,1.3659336566925049,0
2021-11-03,1.3617392778396606,1.3617392778396606,1.3664562702178955,1.361136794090271,1.361748456954956,0
2021-11-04,1.3694878816604614,1.3694878816604614,1.3694690465927124,1.347320318222046,1.3693565130233765,0
2021-11-05,1.3508602380752563,1.3508602380752563,1.3509862422943115,1.342588186264038,1.3509496450424194,0
2021-11-08,1.349127173423767,1.349127173423767,1.3579760789871216,1.345188856124878,1.3489633798599243,0
2021-11-09,1.3564507961273191,1.3564507961273191,1.360544204711914,1.352630853652954,1.35637366771698,0
2021-11-10,1.3560001850128174,1.3560001850128174,1.3566679954528809,1.3468376398086548,1.35609769821167,0
2021-11-11,1.3412736654281616,1.3412736654281616,1.343273639678955,1.3370234966278076,1.3412736654281616,0
2021-11-12,1.3366482257843018,1.3366482257843018,1.3422818183898926,1.33539879322052,1.3367197513580322,0
2021-11-15,1.341705560684204,1.341705560684204,1.3449536561965942,1.3403927087783811,1.341687560081482,0
2021-11-16,1.3408420085906982,1.3408420085906982,1.3473457098007202,1.3410937786102295,1.3410937786102295,0
2021-11-17,1.3424620628356934,1.3424620628356934,1.349017858505249,1.3402670621871948,1.342426061630249,0
2021-11-18,1.34916353225708,1.34916353225708,1.3513896465301514,1.3465402126312256,1.3489633798599243,0
2021-11-19,1.3499648571014404,1.3499648571014404,1.3509862422943115,1.3408420085906982,1.349837303161621,0
2021-11-22,1.3434540033340454,1.3434540033340454,1.3449898958206177,1.3392258882522583,1.343360185623169,0
2021-11-23,1.3397642374038696,1.3397642374038696,1.3408420085906982,1.3344186544418335,1.3397642374038696,0
2021-11-24,1.337595820426941,1.337595820426941,1.3389748334884644,1.332480549812317,1.3375779390335083,0
2021-11-25,1.333066701889038,1.333066701889038,1.3353006839752195,1.330654263496399,1.3331022262573242,0
2021-11-26,1.331416130065918,1.331416130065918,1.3348461389541626,1.328056573867798,1.3313452005386353,0
2021-11-29,1.334098219871521,1.334098219871521,1.336308836936951,1.32902729511261,1.3339558839797974,0
2021-11-30,1.3315047025680542,1.3315047025680542,1.3369340896606443,1.3206201791763306,1.3316643238067627,0
2021-12-01,1.3295927047729492,1.3295927047729492,1.3351134061813354,1.3277214765548706,1.3295927047729492,0
2021-12-02,1.3280000686645508,1.3280000686645508,1.3332622051239014,1.3272457122802734,1.3279330730438232,0
2021-12-03,1.3299994468688965,1.3299994468688965,1.3308136463165283,1.321143627166748,1.3300702571868896,0
2021-12-06,1.3237318992614746,1.3237318992614746,1.3285505771636963,1.322383999824524,1.323293924331665,0
2021-12-07,1.326435923576355,1.326435923576355,1.3289742469787598,1.3210563659667969,1.3264182806015017,0
2021-12-08,1.3246086835861206,1.3246086835861206,1.326259970664978,1.3174710273742676,1.3248542547225952,0
2021-12-09,1.3210039138793943,1.3210039138793943,1.3217023611068726,1.317627191543579,1.3210039138793943,0
2021-12-10,1.3224014043807983,1.3224014043807983,1.3271048069000244,1.319087266921997,1.3224889039993286,0
2021-12-13,1.3257148265838623,1.3257148265838623,1.3268758058547974,1.3222440481185913,1.3258028030395508,0
2021-12-14,1.3213530778884888,1.3213530778884888,1.325556755065918,1.319087266921997,1.3213355541229248,0
2021-12-15,1.323050618171692,1.323050618171692,1.328285813331604,1.3208119869232178,1.3231364488601685,0
2021-12-16,1.3263126611709597,1.3263126611709597,1.337327480316162,1.324310302734375,1.326400637626648,0
2021-12-17,1.3323739767074585,1.3323739767074585,1.3340448141098022,1.3257676362991333,1.3324273824691772,0
2021-12-20,1.3229438066482544,1.3229438066482544,1.3243454694747925,1.317401647567749,1.3229963779449463,0
2021-12-21,1.3210004568099976,1.3210004568099976,1.326119303703308,1.3199751377105713,1.32098650932312,0
2021-12-22,1.3269639015197754,1.3269639015197754,1.3362374305725098,1.3241350650787354,1.3269991874694824,0
2021-12-23,1.3352025747299194,1.3352025747299194,1.3437248468399048,1.334507703781128,1.3352025747299194,0
2021-12-24,1.3406623601913452,1.3406623601913452,1.342570185661316,1.3394052982330322,1.3409138917922974,0
2021-12-27,1.3404303789138794,1.3404303789138794,1.3440697193145752,1.3392258882522583,1.340520262718201,0
2021-12-28,1.344266653060913,1.344266653060913,1.3462574481964111,1.3418315649032593,1.3444474935531616,0
2021-12-29,1.3433277606964111,1.3433277606964111,1.3499284982681274,1.3409138917922974,1.3433998823165894,0
2021-12-30,1.349879264831543,1.349879264831543,1.352155327796936,1.345532774925232,1.3497644662857056,0
2021-12-31,1.349837303161621,1.349837303161621,1.3548483848571775,1.3467469215393066,1.349892020225525,0
2022-01-03,1.3522284030914309,1.3522284030914309,1.353179931640625,1.343273639678955,1.3522284030914309,0
2022-01-04,1.3483266830444336,1.3483266830444336,1.3556748628616333,1.3460761308670044,1.3482794761657717,0
2022-01-05,1.353143334388733,1.353143334388733,1.3573309183120728,1.3522651195526123,1.353051781654358,0
2022-01-06,1.3555645942687988,1.3555645942687988,1.3557482957839966,1.3491089344024658,1.355546236038208,0
2022-01-07,1.353363037109375,1.353363037109375,1.3583449125289917,1.3529419898986816,1.3533997535705566,0
2022-01-10,1.3592311143875122,1.3592311143875122,1.3601926565170288,1.353417992591858,1.3590834140777588,0
2022-01-11,1.3580313920974731,1.3580313920974731,1.362416386604309,1.3562816381454468,1.3581697940826416,0
2022-01-12,1.3633265495300293,1.3633265495300293,1.3699380159378052,1.362212300300598,1.3634008169174194,0
2022-01-13,1.3709993362426758,1.3709993362426758,1.374948501586914,1.37055766582489,1.3706891536712646,0
2022-01-14,1.3713659048080444,1.3713659048080444,1.374192714691162,1.3667699098587036,1.371290683746338,0
2022-01-17,1.367353081703186,1.367353081703186,1.3688992261886597,1.3638657331466677,1.367353081703186,0
2022-01-18,1.364800214767456,1.364800214767456,1.366120219230652,1.3576257228851318,1.364800214767456,0
2022-01-19,1.3600261211395264,1.3600261211395264,1.36481511592865,1.3589357137680054,1.3600815534591677,0
2022-01-20,1.360858917236328,1.360858917236328,1.3661575317382812,1.3601555824279783,1.360951542854309,0
2022-01-21,1.359767198562622,1.359767198562622,1.3603591918945312,1.3547565937042236,1.3600261211395264,0
2022-01-24,1.3555830717086792,1.3555830717086792,1.3566679954528809,1.3443028926849363,1.3554911613464355,0
2022-01-25,1.3489269018173218,1.3489269018173218,1.3500559329986572,1.343706727027893,1.348981499671936,0
2022-01-26,1.3510775566101074,1.3510775566101074,1.3524478673934937,1.3494184017181396,1.351040959358215,0
2022-01-27,1.3468012809753418,1.3468012809753418,1.34678316116333,1.3360588550567627,1.34678316116333,0
2022-01-28,1.3388315439224243,1.3388315439224243,1.3432012796401978,1.3365589380264282,1.338849425315857,0
2022-01-31,1.3403388261795044,1.3403388261795044,1.3454241752624512,1.3395309448242188,1.3402130603790283,0
2022-02-01,1.3445378541946411,1.3445378541946411,1.3514060974121094,1.3435803651809692,1.344266653060913,0
2022-02-02,1.352539300918579,1.352539300918579,1.3584926128387451,1.3517167568206787,1.3523930311203003,0
2022-02-03,1.3565024137496948,1.3565024137496948,1.3625463247299194,1.3539128303527832,1.3564472198486328,0
2022-02-04,1.359841227531433,1.359841227531433,1.361655831336975,1.3508037328720093,1.359619379043579,0
2022-02-07,1.3533447980880735,1.3533447980880735,1.3550318479537964,1.3491816520690918,1.353363037109375,0
2022-02-08,1.353780746459961,1.353780746459961,1.3566679954528809,1.3509862422943115,1.3538395166397097,0
2022-02-09,1.3547565937042236,1.3547565937042236,1.3588248491287231,1.3538211584091189,1.3548115491867063,0
2022-02-10,1.3533265590667725,1.3533265590667725,1.3643310070037842,1.352539300918579,1.3533997535705566,0
2022-02-11,1.3551788330078125,1.3551788330078125,1.360877513885498,1.3515340089797974,1.354976773262024,0
2022-02-14,1.3569625616073608,1.3569625616073608,1.3572204113006592,1.349582314491272,1.3570178747177124,0
2022-02-15,1.3532898426055908,1.3532898426055908,1.3566864728927612,1.349017858505249,1.3533265590667725,0
2022-02-16,1.3541145324707031,1.3541145324707031,1.358991026878357,1.3539128303527832,1.3541145324707031,0
2022-02-17,1.3584926128387451,1.3584926128387451,1.3636425733566284,1.3558034896850586,1.3582342863082886,0
2022-02-18,1.3618782758712769,1.3618782758712769,1.3640704154968262,1.357441544532776,1.361544489860535,0
2022-02-21,1.359342098236084,1.359342098236084,1.3638285398483276,1.3587141036987305,1.3591794967651367,0
2022-02-22,1.3596007823944092,1.3596007823944092,1.360544204711914,1.3540045022964478,1.3595268726348877,0
2022-02-23,1.3589357137680054,1.3589357137680054,1.361952543258667,1.354921817779541,1.3590834140777588,0
2022-02-24,1.3545730113983154,1.3545730113983154,1.3547382354736328,1.3275980949401855,1.3544628620147705,0
2022-02-25,1.337327480316162,1.337327480316162,1.3439054489135742,1.3368983268737793,1.3372201919555664,0
2022-02-28,1.337327480316162,1.337327480316162,1.343111276626587,1.3342584371566772,1.337005615234375,0
2022-03-01,1.3422818183898926,1.3422818183898926,1.3437248468399048,1.3312033414840698,1.3422818183898926,0
2022-03-02,1.3335111141204834,1.3335111141204834,1.337095022201538,1.327404260635376,1.3333333730697632,0
2022-03-03,1.33969247341156,1.33969247341156,1.341795563697815,1.3320368528366089,1.3397282361984253,0
2022-03-04,1.3350956439971924,1.3350956439971924,1.335131287574768,1.320533037185669,1.335131287574768,0
2022-03-07,1.3212482929229736,1.3212482929229736,1.3225939273834229,1.3103927373886108,1.3212482929229736,0
2022-03-08,1.311229586601257,1.311229586601257,1.3142850399017334,1.3083696365356443,1.3114066123962402,0
2022-03-09,1.3099292516708374,1.3099292516708374,1.318235158920288,1.3099292516708374,1.3102554082870483,0
2022-03-10,1.3185653686523438,1.3185653686523438,1.3194701671600342,1.3107362985610962,1.3188437223434448,0
2022-03-11,1.3103240728378296,1.3103240728378296,1.312490940093994,1.3052444458007812,1.3103067874908447,0
2022-03-14,1.3050298690795898,1.3050298690795898,1.3078734874725342,1.3010499477386477,1.304955005645752,0
2022-03-15,1.3011853694915771,1.3011853694915771,1.308866262435913,1.3001364469528198,1.30108380317688,0
2022-03-16,1.304648518562317,1.304648518562317,1.3114409446716309,1.3036619424819946,1.3045003414154053,0
2022-03-17,1.3141123056411743,1.3141123056411743,1.3211086988449097,1.3089518547058103,1.314077615737915,0
2022-03-18,1.3160406351089478,1.3160406351089478,1.31816565990448,1.3112002611160278,1.3160492181777954,0
2022-03-21,1.316083908081055,1.316083908081055,1.32098650932312,1.3128355741500854,1.3160665035247805,0
2022-03-22,1.3168290853500366,1.3168290853500366,1.3272457122802734,1.3120949268341064,1.3167943954467771,0
2022-03-23,1.3266470432281494,1.3266470432281494,1.3298933506011963,1.317627191543579,1.3269639015197754,0
2022-03-24,1.3206027746200562,1.3206027746200562,1.3214752674102783,1.3157894611358645,1.3206549882888794,0
2022-03-25,1.3195745944976809,1.3195745944976809,1.322558879852295,1.3161704540252686,1.319591999053955,0
2022-03-28,1.317627191543579,1.317627191543579,1.3178876638412476,1.3068649768829346,1.3176966905593872,0
2022-03-29,1.3103584051132202,1.3103584051132202,1.3159279823303225,1.3052273988723757,1.3099979162216189,0
2022-03-30,1.3093804121017456,1.3093804121017456,1.318061351776123,1.3091576099395752,1.3092947006225586,0
2022-03-31,1.3138878345489502,1.3138878345489502,1.3170892000198364,1.3109596967697144,1.313680648803711,0
2022-04-01,1.314699649810791,1.314699649810791,1.3146132230758667,1.308866262435913,1.314578652381897,0
2022-04-04,1.3103755712509155,1.3103755712509155,1.313628911972046,1.3095176219940186,1.3105130195617676,0
2022-04-05,1.3114582300186155,1.3114582300186155,1.3166903257369995,1.3100494146347046,1.3113033771514893,0
2022-04-06,1.3077365159988403,1.3077365159988403,1.3106846809387207,1.304665446281433,1.3076339960098269,0
2022-04-07,1.307206630706787,1.307206630706787,1.3106675148010254,1.305500030517578,1.307172417640686,0
2022-04-08,1.3069332838058472,1.3069332838058472,1.3078734874725342,1.298482060432434,1.3068649768829346,0
2022-04-11,1.303220272064209,1.303220272064209,1.3057557344436646,1.2989881038665771,1.3029484748840332,0
2022-04-12,1.3024225234985352,1.3024225234985352,1.3053637742996216,1.2996971607208252,1.3023545742034912,0
2022-04-13,1.3002548217773438,1.3002548217773438,1.3071553707122805,1.29743754863739,1.300349473953247,0
2022-04-14,1.312026023864746,1.312026023864746,1.3147515058517456,1.3038150072097778,1.3122154474258425,0
2022-04-15,1.3070015907287598,1.3070015907287598,1.3076680898666382,1.3052785396575928,1.306165099143982,0
2022-04-18,1.3057557344436646,1.3057557344436646,1.30577290058136,1.3007960319519043,1.30577290058136,0
2022-04-19,1.3009822368621826,1.3009822368621826,1.3039849996566772,1.2983304262161257,1.3007622957229614,0
2022-04-20,1.301371693611145,1.301371693611145,1.3066771030426023,1.2997984886169434,1.301574945449829,0
2022-04-21,1.3068820238113403,1.3068820238113403,1.308832049369812,1.3024225234985352,1.3068137168884275,0
2022-04-22,1.302626132965088,1.302626132965088,1.303373098373413,1.2840760946273804,1.302405595779419,0
2022-04-25,1.2830876111984253,1.2830876111984253,1.2829724550247192,1.269905686378479,1.2829065322875977,0
2022-04-26,1.2739989757537842,1.2739989757537842,1.2772371768951416,1.261304497718811,1.2737231254577637,0
2022-04-27,1.2583998441696167,1.2583998441696167,1.2600805759429932,1.2503907680511477,1.258447289466858,0
2022-04-28,1.2541857957839966,1.2541857957839966,1.2566760778427124,1.2414032220840454,1.2539657354354858,0
2022-04-29,1.2463854551315308,1.2463854551315308,1.258352279663086,1.2467273473739624,1.2468050718307495,0
2022-05-02,1.2573871612548828,1.2573871612548828,1.2596362829208374,1.2505314350128174,1.257379174232483,0
